tax_id	scientificName	Order	Diet	Massg	high_hfp_extent_suitable	high_hfp_extent_unsuitable	GISfrag_suitable	Percentage_change_suitable	Percentage_change_unsuitable	mean_distance_unsuitable	proportion_suitable	proportion_unsuitable	trans9617
5578	Crocidura nimbae	Eulipotyphla	carnivore	15.5	98.69306931	99.78991597	1355.383938	0.787520064	0.054580897	1694.738801	43.99755326	56.00244674	0
5580	Crocidura phaeura	Eulipotyphla	carnivore	5.7	100	100	445.7757184	0	0	1946.554447	13.87858677	86.12141323	1
5582	Crocidura stenocephala	Eulipotyphla	carnivore	21	100	100	989.2683247	0	0	413.2396057	69.01408451	30.98591549	1
5583	Crocidura tansaniana	Eulipotyphla	carnivore	19	100	100	796.0760131	0	0	434.7142586	69.2367577	30.7632423	1
5584	Crocidura telfordi	Eulipotyphla	carnivore	18	71.63076923	81.39277819	736.6916665	1.4604811	0.769578995	2087.285447	37.02487583	62.97512417	0
5585	Crocidura thalia	Eulipotyphla	carnivore	21.1	98.23205228	98.57893441	772.5924178	1.218876449	0.527985743	3225.46237	25.18557744	74.81442256	0
5587	Crocidura wimmeri	Eulipotyphla	carnivore	23.5	100	100	334.2830086	0	0	1233.046935	3.528114664	96.47188534	1
5588	Crocidura zimmermanni	Eulipotyphla	carnivore	7.5	99.75067996	98.58411993	680.7760899	0.022722109	0.028161081	807.8408208	55.02939474	44.97060526	1
5589	Crocidura ludia	Eulipotyphla	carnivore	6.5	63.47427216	78.37004037	1615.278949	20.57606088	11.98723825	2482.799306	64.08111867	35.91888133	0
5590	Crocidura orii	Eulipotyphla	carnivore	14.4	100	100	382.1846861	0	0	637.0095848	26.79517051	73.20482949	1
5593	Crocidura selina	Eulipotyphla	carnivore	11.6	100	99.79086657	510.7568183	0	0	2957.875715	10.23674138	89.76325862	0
5594	Crocidura thomensis	Eulipotyphla	carnivore	10.7	100	100	879.9092724	0	0	367.6639523	80.04951052	19.95048948	1
5595	Crocidura andamanensis	Eulipotyphla	carnivore	22.8		100			0	806.8583815	0	100	1
5597	Crocidura beatus	Eulipotyphla	carnivore	10.6	94.89637953	97.75454045	736.2623699	0.826185339	0.934579439	1173.047153	35.64366043	64.35633957	0
5598	Crocidura beccarii	Eulipotyphla	carnivore	7	99.8086909	99.05856215	494.1422855	0	0.013593113	7060.980526	3.996379451	96.00362055	0
5602	Crocidura grayi	Eulipotyphla	carnivore	10.3	75.08766421	95.62062273	603.4576897	5.541228131	0.886869043	3618.143791	16.696664	83.303336	0
5603	Crocidura hispida	Eulipotyphla	carnivore	10.9	100	100	329.7430762	0	0	375.9504655	47.82608696	52.17391304	1
5604	Crocidura jenkinsi	Eulipotyphla	carnivore	12.6	100	100	302.3011865	0	0	1070.684299	8.059701493	91.94029851	1
5605	Crocidura malayana	Eulipotyphla	carnivore	12.3	70.87368223	96.17635583	1005.523313	2.876499754	0.313062115	5269.715703	21.43330637	78.56669363	0
5608	Crocidura miya	Eulipotyphla	carnivore	10.2	100	100	1027.0029	0	0	384.3356574	86.19607843	13.80392157	1
5609	Crocidura negrina	Eulipotyphla	carnivore	13.4	100	100	499.3555193	0	0	646.9243339	37.16177862	62.83822138	1
5610	Crocidura nicobarica	Eulipotyphla	carnivore	28.9	100	100	361.6244242	0	0	395.922198	52.24913495	47.75086505	1
5611	Crocidura orientalis	Eulipotyphla	carnivore	11.3	100	100	567.4956722	0	0	1992.299413	10.81597554	89.18402446	0
5613	Crocidura palawanensis	Eulipotyphla	carnivore	10.6	96.95227142	99.30162953	726.0455299	1.601423488	0.535833891	739.9281531	46.10780345	53.89219655	0
5614	Crocidura paradoxura	Eulipotyphla	carnivore	8.2	99.96665679	98.91800762	901.9404544	0	0.015262709	3217.282461	25.2584283	74.7415717	0
5617	Crocidura shantungensis	Eulipotyphla	carnivore	5.5	95.28870725	92.440038	2585.581918	0	0.520534728	806.8799865	89.76861479	10.23138521	0
5620	Crocidura allex	Eulipotyphla	carnivore	7	100	99.27338783	464.6366343	0	0	4129.932494	2.68977488	97.31022512	1
5621	Crocidura attila	Eulipotyphla	carnivore	5	74.06299429	80.21145405	1875.697345	11.32132683	8.506872815	461.1774103	86.24675642	13.75324358	0
5622	Crocidura bottegoides	Eulipotyphla	carnivore	3	100	100	353.0399503	0	0	5273.703011	2.634123953	97.36587605	1
5623	Crocidura caliginea	Eulipotyphla	carnivore	8.3	50.89373518	81.69402331	1954.474607	41.84189589	10.52147239	572.4840854	89.67380968	10.32619032	0
5624	Crocidura desperata	Eulipotyphla	carnivore	10.7	100	100	879.9526829	0	0	969.7666912	50.32181331	49.67818669	1
5625	Crocidura elgonius	Eulipotyphla	carnivore	6.5	91.73747812	96.68387706	754.0046864	0.242040588	0.154983912	3533.795051	27.60682282	72.39317718	0
5628	Crocidura flavescens	Eulipotyphla	carnivore	28.5	97.99258916	97.3983325	974.3231124	0.060501215	0.164404938	1836.717567	37.03652279	62.96347721	0
5629	Crocidura foxi	Eulipotyphla	carnivore	19	94.54217081	83.5735785	2536.581644	0.577767308	1.267991483	902.5479231	66.38185672	33.61814328	0
5630	Crocidura fumosa	Eulipotyphla	carnivore	14.5	36.7965368	89.34733683	470.5109234	1.176470588	0.074633828	7172.531093	1.848292722	98.15170728	0
5632	Crocidura greenwoodi	Eulipotyphla	carnivore	11.5	100	100	13202.7415	0	0	351.7295743	99.04454095	0.955459052	0
5633	Crocidura harenna	Eulipotyphla	carnivore	8.5	100	100	328.869902	0	0	924.8964184	7.456828885	92.54317111	1
